Time , Heart Rate BPM , Insulin Level mIU/L
15:40 , 88 , 97
15:45 , 91 , 99
15:50 , 89 , 99
15:55 , 89 , 99
16:00 , 89 , 98
16:05 , 89 , 100
16:10 , 89 , 99
16:15 , 92 , 102
16:20 , 90 , 102
16:25 , 91 , 103
16:30 , 89 , 102
16:35 , 87 , 104
16:40 , 86 , 103
16:45 , 86 , 102
16:50 , 88 , 101
16:55 , 87 , 98
17:00 , 84 , 98
17:05 , 84 , 96
17:10 , 83 , 97
17:15 , 81 , 96
17:20 , 80 , 95
17:25 , 77 , 92
17:30 , 80 , 91
17:35 , 77 , 92
17:40 , 80 , 89
17:45 , 81 , 90
17:50 , 80 , 91
17:55 , 77 , 88
18:00 , 76 , 87
18:05 , 73 , 89
18:10 , 74 , 90
18:15 , 71 , 89
18:20 , 71 , 87
18:25 , 74 , 88
18:30 , 72 , 85
18:35 , 70 , 82
18:40 , 73 , 79
18:45 , 70 , 76
18:50 , 73 , 73
18:55 , 76 , 74
19:00 , 79 , 72
19:05 , 78 , 69
19:10 , 79 , 66
19:15 , 77 , 65
19:20 , 78 , 64
19:25 , 81 , 65
19:30 , 83 , 65
19:35 , 85 , 67
19:40 , 84 , 64
19:45 , 85 , 64
19:50 , 83 , 63
19:55 , 86 , 66
20:00 , 89 , 64
20:05 , 86 , 62
20:10 , 83 , 59
20:15 , 84 , 60
20:20 , 81 , 62
20:25 , 79 , 65
20:30 , 80 , 64
20:35 , 77 , 67
20:40 , 75 , 67
20:45 , 73 , 67
20:50 , 70 , 67
20:55 , 73 , 70
21:00 , 74 , 73
21:05 , 75 , 76
21:10 , 75 , 79
21:15 , 78 , 77
21:20 , 75 , 75
21:25 , 77 , 72
21:30 , 75 , 72
21:35 , 78 , 72
21:40 , 78 , 75
21:45 , 76 , 76
21:50 , 79 , 73
21:55 , 76 , 75
22:00 , 77 , 72
22:05 , 76 , 75
22:10 , 76 , 73
22:15 , 78 , 74
22:20 , 75 , 77
22:25 , 74 , 77
22:30 , 75 , 79
22:35 , 75 , 78
22:40 , 75 , 77
22:45 , 77 , 76
22:50 , 79 , 73
22:55 , 82 , 74
23:00 , 83 , 72
23:05 , 86 , 70
23:10 , 89 , 68
23:15 , 89 , 67
23:20 , 90 , 68
23:25 , 93 , 68
23:30 , 91 , 71
23:35 , 90 , 73
23:40 , 93 , 74
23:45 , 94 , 71
23:50 , 91 , 71
23:55 , 94 , 68
