Column1,cumulative
0,0
1,1
1,2
0,2
1,3
1,4
2,6
0,6
0,6
2,8
3,11
2,13
2,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
2,17
0,17
0,17
1,18
0,18
1,19
1,20
2,22
2,24
2,26
0,26
1,27
1,28
1,29
0,29
2,31
0,31
0,31
0,31
3,34
0,34
2,36
1,37
1,38
1,39
1,40
3,43
1,44
1,45
1,46
2,48
4,52
1,53
0,53
0,53
1,54
0,54
2,56
1,57
3,60
2,62
1,63
3,66
4,70
1,71
1,72
3,75
3,78
1,79
1,80
1,81
1,82
4,86
1,87
1,88
3,91
2,93
1,94
1,95
2,97
1,98
1,99
2,101
1,102
1,103
0,103
0,103
0,103
0,103
0,103
1,104
1,105
1,106
1,107
2,109
1,110
1,111
2,113
1,114
2,116
1,117
3,120
1,121
2,123
1,124
2,126
1,127
2,129
1,130
1,131
1,132
1,133
1,134
1,135
1,136
1,137
1,138
0,138
0,138
1,139
0,139
1,140
1,141
0,141
0,141
1,142
0,142
0,142
0,142
1,143
1,144
1,145
3,148
1,149
1,150
0,150
0,150
3,153
0,153
0,153
1,154
0,154
1,155
0,155
1,156
2,158
0,158
0,158
1,159
0,159
0,159
1,160
0,160
1,161
1,162
0,162
2,164
1,165
0,165
1,166
1,167
0,167
1,168
1,169
0,169
1,170
0,170
1,171
0,171
0,171
0,171
0,171
0,171
0,171
1,172
1,173
0,173
0,173
2,175
0,175
2,177
1,178
0,178
0,178
0,178
0,178
1,179
1,180
0,180
0,180
0,180
0,180
0,180
1,181
0,181
0,181
0,181
1,182
0,182
1,183
0,183
0,183
0,183
2,185
0,185
1,186
0,186
2,188
0,188
0,188
1,189
0,189
0,189
0,189
1,190
0,190
0,190
0,190
1,191
0,191
0,191
1,192
1,193
0,193
0,193
3,196
1,197
1,198
1,199
1,200
0,200
1,201
0,201
1,202
0,202
1,203
0,203
1,204
0,204
0,204
0,204
1,205
0,205
1,206
2,208
3,211
0,211
1,212
0,212
0,212
0,212
0,212
0,212
0,212
0,212
0,212
0,212
0,212
0,212
1,213
0,213
0,213
0,213
0,213
0,213
0,213
0,213
0,213
1,214
0,214
2,216
0,216
2,218
0,218
0,218
0,218
0,218
0,218
1,219
0,219
0,219
1,220
1,221
0,221
1,222
1,223
1,224
0,224
0,224
1,225
1,226
1,227
0,227
0,227
0,227
0,227
1,228
1,229
0,229
1,230
0,230
1,231
0,231
0,231
0,231
0,231
0,231
0,231
1,232
0,232
0,232
1,233
1,234
0,234
2,236
0,236
0,236
1,237
0,237
1,238
1,239
0,239
2,241
1,242
1,243
0,243
0,243
0,243
0,243
0,243
0,243
1,244
0,244
0,244
0,244
0,244
0,244
2,246
1,247
1,248
2,250
1,251
0,251
3,254
1,255
0,255
1,256
1,257
0,257
1,258
0,258
0,258
1,259
0,259
1,260
2,262
0,262
1,263
1,264
0,264
0,264
0,264
1,265
0,265
0,265
1,266
1,267
0,267
0,267
0,267
0,267
1,268
1,269
0,269
1,270
0,270
0,270
1,271
1,272
0,272
0,272
1,273
0,273
2,275
1,276
0,276
1,277
1,278
1,279
0,279
1,280
0,280
0,280
0,280
0,280
0,280
2,282
1,283
0,283
0,283
0,283
0,283
1,284
2,286
0,286
0,286
0,286
1,287
1,288
0,288
0,288
0,288
1,289
3,292
0,292
0,292
0,292
0,292
0,292
0,292
0,292
0,292
1,293
0,293
0,293
0,293
2,295
0,295
1,296
1,297
0,297
0,297
0,297
0,297
2,299
0,299
0,299
0,299
0,299
0,299
0,299
0,299
0,299
0,299
0,299
0,299
1,300
0,300
1,301
1,302
0,302
0,302
2,304
0,304
0,304
0,304
1,305
0,305
2,307
0,307
1,308
0,308
1,309
0,309
1,310
1,311
0,311
0,311
1,312
0,312
0,312
1,313
1,314
1,315
0,315
0,315
1,316
1,317
0,317
1,318
1,319
0,319
0,319
0,319
0,319
0,319
1,320
0,320
0,320
0,320
0,320
1,321
0,321
3,324
0,324
0,324
1,325
0,325
0,325
0,325
0,325
0,325
0,325
0,325
2,327
1,328
1,329
0,329
1,330
0,330
0,330
1,331
1,332
1,333
0,333
1,334
2,336
1,337
0,337
1,338
0,338
0,338
0,338
0,338
0,338
0,338
1,339
0,339
1,340
0,340
0,340
0,340
0,340
0,340
1,341
0,341
0,341
0,341
0,341
1,342
0,342
1,343
2,345
2,347
1,348
0,348
0,348
1,349
0,349
0,349
1,350
0,350
0,350
1,351
0,351
0,351
1,352
0,352
2,354
1,355
1,356
1,357
1,358
1,359
0,359
0,359
0,359
0,359
0,359
2,361
1,362
1,363
1,364
0,364
1,365
2,367
0,367
1,368
0,368
0,368
0,368
1,369
0,369
0,369
1,370
0,370
0,370
0,370
0,370
1,371
0,371
1,372
1,373
0,373
0,373
0,373
0,373
2,375
0,375
1,376
1,377
0,377
0,377
1,378
2,380
0,380
0,380
3,383
1,384
2,386
1,387
1,388
0,388
1,389
2,391
1,392
3,395
1,396
0,396
0,396
1,397
2,399
0,399
0,399
1,400
1,401
0,401
1,402
1,403
0,403
0,403
0,403
0,403
1,404
0,404
0,404
0,404
1,405
0,405
0,405
0,405
1,406
0,406
0,406
1,407
0,407
0,407
0,407
2,409
1,410
0,410
0,410
1,411
0,411
1,412
2,414
4,418
2,420
0,420
2,422
0,422
0,422
0,422
0,422
1,423
1,424
0,424
0,424
0,424
0,424
0,424
1,425
1,426
0,426
1,427
0,427
1,428
1,429
0,429
1,430
0,430
1,431
2,433
1,434
0,434
1,435
0,435
1,436
0,436
0,436
0,436
2,438
0,438
0,438
0,438
0,438
0,438
0,438
1,439
0,439
0,439
1,440
0,440
0,440
1,441
0,441
0,441
0,441
0,441
1,442
0,442
2,444
0,444
0,444
0,444
0,444
1,445
1,446
2,448
0,448
0,448
1,449
0,449
0,449
0,449
0,449
0,449
0,449
0,449
1,450
0,450
1,451
0,451
0,451
0,451
1,452
0,452
1,453
0,453
0,453
0,453
1,454
2,456
0,456
0,456
0,456
1,457
3,460
0,460
1,461
1,462
0,462
2,464
0,464
0,464
1,465
1,466
0,466
0,466
0,466
1,467
1,468
0,468
0,468
0,468
0,468
0,468
0,468
1,469
0,469
0,469
0,469
1,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
0,470
1,471
0,471
0,471
0,471
1,472
0,472
0,472
1,473
0,473
0,473
0,473
0,473
0,473
0,473
0,473
1,474
0,474
1,475
0,475
1,476
0,476
0,476
1,477
1,478
0,478
0,478
1,479
0,479
1,480
0,480
2,482
0,482
1,483
0,483
0,483
0,483
0,483
1,484
1,485
1,486
0,486
1,487
0,487
1,488
0,488
0,488
0,488
0,488
0,488
0,488
2,490
0,490
1,491
2,493
0,493
0,493
0,493
0,493
1,494
0,494
0,494
0,494
0,494
0,494
0,494
0,494
0,494
0,494
1,495
0,495
0,495
0,495
1,496
0,496
0,496
0,496
1,497
0,497
0,497
2,499
0,499
0,499
2,501
1,502
1,503
2,505
0,505
0,505
2,507
0,507
0,507
0,507
0,507
1,508
0,508
4,512
1,513
0,513
1,514
0,514
0,514
1,515
2,517
0,517
0,517
1,518
0,518
1,519
1,520
3,523
0,523
0,523
1,524
0,524
0,524
0,524
0,524
0,524
1,525
0,525
0,525
0,525
1,526
0,526
1,527
0,527
0,527
0,527
1,528
1,529
0,529
0,529
0,529
1,530
0,530
1,531
0,531
1,532
2,534
1,535
0,535
0,535
0,535
0,535
1,536
1,537
0,537
0,537
1,538
2,540
0,540
0,540
0,540
0,540
0,540
0,540
0,540
1,541
0,541
1,542
1,543
1,544
3,547
0,547
1,548
1,549
0,549
1,550
1,551
0,551
0,551
1,552
2,554
0,554
0,554
1,555
0,555
1,556
0,556
0,556
0,556
1,557
0,557
0,557
1,558
0,558
1,559
0,559
0,559
0,559
1,560
0,560
0,560
1,561
1,562
1,563
2,565
0,565
0,565
0,565
1,566
0,566
0,566
1,567
2,569
1,570
2,572
0,572
0,572
0,572
0,572
0,572
1,573
0,573
0,573
2,575
1,576
0,576
0,576
1,577
0,577
1,578
1,579
0,579
0,579
0,579
1,580
1,581
1,582
0,582
0,582
0,582
0,582
1,583
1,584
1,585
0,585
1,586
0,586
1,587
0,587
0,587
0,587
1,588
0,588
0,588
1,589
0,589
0,589
0,589
0,589
1,590
1,591
0,591
1,592
2,594
0,594
1,595
2,597
1,598
0,598
0,598
0,598
2,600
0,600
0,600
0,600
2,602
0,602
1,603
0,603
3,606
0,606
0,606
1,607
1,608
0,608
1,609
1,610
0,610
0,610
0,610
0,610
1,611
0,611
0,611
1,612
0,612
